deredactie.be/cm,deredactie.be/cm/vrtnieuws/videozone/programmas/journaal
eng.kuleuven.be/webcms,eng.kuleuven.be/webcms/Shibboleth.sso
www.apple.com,www.apple.com/iphone
eng.kuleuven.be,eng.kuleuven.be/studenten/programmas/index.html
www.standaard.be/nieuws,www.standaard.be/nieuws/binnenland
onderwijsaanbod.kuleuven.be/syllabi/e,onderwijsaanbod.kuleuven.be/syllabi/e/H0T25AE.htm
www.standaard.be/cnt,www.standaard.be/cnt/dmf20160326_02205525
onderwijsaanbod.kuleuven.be/syllabi,onderwijsaanbod.kuleuven.be/syllabi/e/H0T25AE.htm
onderwijsaanbod.kuleuven.be/opleidingen/e,onderwijsaanbod.kuleuven.be/opleidingen/e/SC_51016880.htm
sporza.be/cm/sporza,sporza.be/cm/sporza/matchcenter/mc_voetbal/jupilerleague_1516
sporza.be/cm,sporza.be/cm/sporza/matchcenter/mc_voetbal/jupilerleague_1516
www.standaard.be/cnt,www.standaard.be/cnt/dmf20160326_02205478
deredactie.be,deredactie.be/cm/vrtnieuws/videozone/programmas/journaal
sporza.be/cm/sporza/matchcenter/mc_voetbal,sporza.be/cm/sporza/matchcenter/mc_voetbal/jupilerleague_1516
deredactie.be/cm/vrtnieuws/videozone/nieuws,deredactie.be/cm/vrtnieuws/videozone/nieuws/politiek/1.2612587
eng.kuleuven.be/studenten,eng.kuleuven.be/studenten/programmas/programma/index.html
www.standaard.be/tag,www.standaard.be/tag/aanslagen-brussel
deredactie.be/cm/vrtnieuws,deredactie.be/cm/vrtnieuws/videozone/programmas/journaal
sporza.be,sporza.be/cm/sporza/matchcenter/mc_voetbal/jupilerleague_1516
deredactie.be/cm/vrtnieuws/videozone/nieuws/politiek,deredactie.be/cm/vrtnieuws/videozone/nieuws/politiek/1.2612587
onderwijsaanbod.kuleuven.be/opleidingen,onderwijsaanbod.kuleuven.be/opleidingen/n/SC_51230411.htm
eng.kuleuven.be/studenten/programmas/programma,eng.kuleuven.be/studenten/programmas/programma/index.html
www.standaard.be/cnt,www.standaard.be/cnt/dmf20160324_02200483
sporza.be/cm/sporza/matchcenter,sporza.be/cm/sporza/matchcenter/mc_voetbal/jupilerleague_1516
onderwijsaanbod.kuleuven.be/opleidingen/n,onderwijsaanbod.kuleuven.be/opleidingen/n/SC_51230411.htm
deredactie.be/cm/vrtnieuws/videozone/programmas,deredactie.be/cm/vrtnieuws/videozone/programmas/journaal
