sporza.be/cm/sporza/matchcenter,sporza.be/cm/sporza/matchcenter/mc_voetbal/jupilerleague_1516
onderwijsaanbod.kuleuven.be/opleidingen/e,onderwijsaanbod.kuleuven.be/opleidingen/e/SC_51016880.htm
deredactie.be,deredactie.be/cm/vrtnieuws/videozone/programmas/journaal
onderwijsaanbod.kuleuven.be/opleidingen/n,onderwijsaanbod.kuleuven.be/opleidingen/n/SC_51230411.htm
www.standaard.be/tag,www.standaard.be/tag/aanslagen-brussel
deredactie.be/cm/vrtnieuws/videozone/programmas,deredactie.be/cm/vrtnieuws/videozone/programmas/journaal
onderwijsaanbod.kuleuven.be,onderwijsaanbod.kuleuven.be/opleidingen/n/SC_51230411.htm
sporza.be/cm,sporza.be/cm/sporza/matchcenter/mc_voetbal/jupilerleague_1516
www.kuleuven.be,www.kuleuven.be/studeren
eng.kuleuven.be/webcms,eng.kuleuven.be/webcms/Shibboleth.sso
onderwijsaanbod.kuleuven.be/syllabi,onderwijsaanbod.kuleuven.be/syllabi/e/H0T25AE.htm
deredactie.be/cm/vrtnieuws/videozone,deredactie.be/cm/vrtnieuws/videozone/programmas/journaal
www.standaard.be/cnt,www.standaard.be/cnt/dmf20160326_02205478
sporza.be/cm/sporza/matchcenter/mc_voetbal,sporza.be/cm/sporza/matchcenter/mc_voetbal/jupilerleague_1516
www.apple.com,www.apple.com/iphone
eng.kuleuven.be/studenten/programmas,eng.kuleuven.be/studenten/programmas/programma/index.html
deredactie.be/cm/vrtnieuws/videozone/nieuws/politiek,deredactie.be/cm/vrtnieuws/videozone/nieuws/politiek/1.2612587
www.standaard.be/nieuws,www.standaard.be/nieuws/binnenland
www.standaard.be/cnt,www.standaard.be/cnt/dmf20160324_02200483
onderwijsaanbod.kuleuven.be/syllabi/e,onderwijsaanbod.kuleuven.be/syllabi/e/H0T25AE.htm
deredactie.be/cm/vrtnieuws/videozone/nieuws,deredactie.be/cm/vrtnieuws/videozone/nieuws/politiek/1.2612587
sporza.be/cm/sporza,sporza.be/cm/sporza/matchcenter/mc_voetbal/jupilerleague_1516
onderwijsaanbod.kuleuven.be/opleidingen,onderwijsaanbod.kuleuven.be/opleidingen/n/SC_51230411.htm
